model,attn_type,dataset,epoch,eval_loss,perplexity,tokens_per_sec,gpu_mem_mb
opt-1.3b,MHA,wikitext,1.0,2.6954,14.81,200.7,28710.6
opt-1.3b,MHA,wikitext,1.0,2.7138,15.09,447.8,28710.6
opt-1.3b,MHA,wikitext,2.0,2.7324,15.37,472.1,28710.6
opt-1.3b,MHA,wikitext,3.0,2.7985,16.42,468.5,28710.6
opt-1.3b,MHA,openwebtext,1.0,2.8873,17.94,472.5,28790.6
opt-1.3b,MHA,openwebtext,2.0,2.8703,17.64,467.8,28790.6
opt-1.3b,MHA,openwebtext,3.0,2.9013,18.2,467.2,28790.6
falcon-1b,MQA,wikitext,1.0,2.749,15.63,401.7,31848.6
falcon-1b,MQA,wikitext,2.0,2.8618,17.49,430.3,31848.6
falcon-1b,MQA,wikitext,3.0,3.1736,23.89,402.2,31848.6
falcon-1b,MQA,openwebtext,1.0,2.9437,18.99,433.9,31566.6
falcon-1b,MQA,openwebtext,2.0,2.9692,19.48,433.2,31566.6
opt-1.3b,MHA,wikitext,1.0,2.5762,13.15,633.0,32498.6
opt-1.3b,MHA,wikitext,2.0,2.5885,13.31,634.9,32498.6
opt-1.3b,MHA,wikitext,3.0,2.6304,13.88,724.2,32500.6
falcon-1b,MQA,wikitext,1.0,2.5803,13.2,504.4,34348.6
falcon-1b,MQA,wikitext,2.0,2.6661,14.38,504.3,34348.6
falcon-1b,MQA,wikitext,3.0,2.894,18.07,505.5,34348.6
opt-1.3b,MHA,wikitext,1.0,2.5747,13.13,621.8,32498.6
opt-1.3b,MHA,wikitext,2.0,2.5881,13.3,629.6,32498.6
opt-1.3b,MHA,wikitext,3.0,2.6302,13.88,724.2,32500.6
llama3-1b,GQA,wikitext,1.0,2.4893,12.05,587.6,33550.6
llama3-1b,GQA,wikitext,2.0,2.5744,13.12,667.6,33550.6
llama3-1b,GQA,wikitext,3.0,2.8758,17.74,586.4,33550.6
falcon-1b,MQA,wikitext,1.0,2.58,13.2,503.3,34350.6
falcon-1b,MQA,wikitext,2.0,2.6641,14.35,502.4,34350.6
falcon-1b,MQA,wikitext,3.0,2.9159,18.47,502.6,34350.6
